P_No,Title,URL
1,,/web/20180118022501/http://www.htcampus.com:80/article/popular-engineering-courses-india-trends-568/
1,,/web/20180118022501/http://www.htcampus.com:80/article/upsc-scra-2017/
1,,/web/20180118022501/http://www.htcampus.com:80/article/rtu-released-list-affiliate-engineering-colleges-their-grades/
1,,/web/20180118022501/http://www.htcampus.com:80/article/wbjee-counselling/
1,,/web/20180118022501/http://www.htcampus.com:80/article/iit-jam-admit-cards/
1,,/web/20180118022501/http://www.htcampus.com:80/article/jee-main-applications-facility-correct-remove-discrepancy-now-open/
1,,/web/20180118022501/http://www.htcampus.com:80/article/gate-admit-card/
1,,/web/20180118022501/http://www.htcampus.com:80/article/nata-important-dates/
1,,/web/20180118022501/http://www.htcampus.com:80/article/nata-exam/
1,,/web/20180118022501/http://www.htcampus.com:80/article/nata-2018-information-brochure-released-exam-be-held-29-april-2018/
1,,/web/20180118022501/http://www.htcampus.com:80/article/kcet-results/
1,,/web/20180118022501/http://www.htcampus.com:80/article/comedk-uget-apply-now/
2,,/web/20170916132835/http://www.htcampus.com/article/popular-engineering-courses-india-trends-568/
2,,/web/20170916132835/http://www.htcampus.com/article/top-10-engineering-colleges-bangalore/
2,,/web/20170916132835/http://www.htcampus.com/article/gate-cut-off-for-iit-bhu/
2,,/web/20170916132835/http://www.htcampus.com/article/gate-cut-off-for-iit-delhi/
2,,/web/20170916132835/http://www.htcampus.com/article/gate-cut-off-for-in-instrumentation-engineering/
2,,/web/20170916132835/http://www.htcampus.com/article/gate-cut-off-for-ece-electronics-and-communication-engineering/
2,,/web/20170916132835/http://www.htcampus.com/article/gate-cut-offs-for-ce-civil-engineering/
2,,/web/20170916132835/http://www.htcampus.com/article/gate-cut-off-for-me-mechanical-engineering/
2,,/web/20170916132835/http://www.htcampus.com/article/top-private-colleges-india/
2,,/web/20170916132835/http://www.htcampus.com/article/uceed-answer-keys/
2,,/web/20170916132835/http://www.htcampus.com/article/gate-cut-offs-for-ee-electrical-engineering/
2,,/web/20170916132835/http://www.htcampus.com/article/gate-cut-off-for-cse-computer-science-engineering/
3,,/web/20180103073730/http://www.htcampus.com/article/wbjee-2018-application-form-information-brochure-released-apply-online-here/
3,,/web/20180103073730/http://www.htcampus.com/article/wbjee-application-forms-west-bengal-engineering-admission/
3,,/web/20180103073730/http://www.htcampus.com/article/bitsat-exam/
3,,/web/20180103073730/http://www.htcampus.com/article/bitsat-important-dates-announced/
3,,/web/20180103073730/http://www.htcampus.com/article/bitsat-application-process/
3,,/web/20180103073730/http://www.htcampus.com/article/bitsat-2018-application-form-information-brochure-released-apply-online-now/
3,,/web/20180103073730/http://www.htcampus.com/article/keam-exam-centres/
3,,/web/20180103073730/http://www.htcampus.com/article/keam-important-dates-exam-entrance-exam/
3,,/web/20180103073730/http://www.htcampus.com/article/keam-2018-exam-dates-released/
3,,/web/20180103073730/http://www.htcampus.com/article/keam-application-forms-selection-procedure-results-eligibility/
4,,/web/20180103090936/http://www.htcampus.com/article/discrepancies-jee-main-2018-uploaded-documents-can-be-rectified-cbse/
4,,/web/20180103090936/http://www.htcampus.com/article/aeee-application-form/
4,,/web/20180103090936/http://www.htcampus.com/article/iit-guwahati-released-gate-2018-exam-schedule/
4,,/web/20180103090936/http://www.htcampus.com/article/aicte-set-minimum-fee-technical-courses/
4,,/web/20180103090936/http://www.htcampus.com/article/iit-kgp-sets-record-creating-over-1000-job-offers-eight-days/
4,,/web/20180103090936/http://www.htcampus.com/article/aeee/
4,,/web/20180103090936/http://www.htcampus.com/article/technical-institutes-publish-complete-fee-structure-their-websites-aicte-new-rules/
4,,/web/20180103090936/http://www.htcampus.com/article/jee-main-application-forms/
4,,/web/20180103090936/http://www.htcampus.com/article/jee-main-exam/
4,,/web/20180103090936/http://www.htcampus.com/article/comedk-uget-important-dates/
5,,/web/20170709104640/http://www.htcampus.com/article/gate-computer-science-exam-pattern/
5,,/web/20170709104640/http://www.htcampus.com/article/gate-chemical-exam-pattern/
5,,/web/20170709104640/http://www.htcampus.com/article/gate-mechanical-exam-pattern/
5,,/web/20170709104640/http://www.htcampus.com/article/gate-life-sciences-exam-pattern/
5,,/web/20170709104640/http://www.htcampus.com/article/gate-ece-exam-pattern/
5,,/web/20170709104640/http://www.htcampus.com/article/gate-civil-exam-pattern/
5,,/web/20170709104640/http://www.htcampus.com/article/gate-biotechnology-exam-pattern/
5,,/web/20170709104640/http://www.htcampus.com/article/karnataka-pgcet-answer-key/
5,,/web/20170709104640/http://www.htcampus.com/article/gate-instrumentation-exam-pattern/
5,,/web/20170709104640/http://www.htcampus.com/article/mu-oet-exam-centres/
6,,/web/20170709085847/http://www.htcampus.com/article/mu-oet-eligibility-criteria/
6,,/web/20170709085847/http://www.htcampus.com/article/mu-oet-application-form/
6,,/web/20170709085847/http://www.htcampus.com/article/mu-oet/
6,,/web/20170709085847/http://www.htcampus.com/article/mu-oet-exam-pattern/
6,,/web/20170709085847/http://www.htcampus.com/article/top-10-mechanical-engineering-colleges-india-2015/
6,,/web/20170709085847/http://www.htcampus.com/article/gate-2015-application-form-be-available-september-1/
6,,/web/20170709085847/http://www.htcampus.com/article/make-changes-gate-2017-application-form-nov-22-2016/
6,,/web/20170709085847/http://www.htcampus.com/article/what-is-better-bca-or-b-tech-expert-speak-2903/
6,,/web/20170709085847/http://www.htcampus.com/article/gate-cut-off-for-iit-roorkee/
6,,/web/20170709085847/http://www.htcampus.com/article/ipu-cet-counselling/
